0,City1,Lat1,Long1,State1,City2,Lat2,Long2,State2,Month,Passenger_Trips,Aircraft_Trips,Passenger_Load_Factor,Distance_GC_(km),RPKs,ASKs,Seats,Year,Month_num
1,Adelaide,-34.947512,138.533393,South Australia,Alice Springs,-23.806588,133.903427,Northern Territory,2014-01,0,0,0,1316,0,0,0,2014,1
2,Adelaide,-34.947512,138.533393,South Australia,Brisbane,-27.572351,153.004167,Queensland,2014-01,64448,513,77.5,1622,104534656,134870922,83151,2014,1
3,Brisbane,-27.572351,153.004167,Queensland,Adelaide,-34.947512,138.533393,South Australia,2014-01,64448,513,77.5,1622,104534656,134870922,83151,2014,1
4,Adelaide,-34.947512,138.533393,South Australia,Canberra,-35.343777,149.099953,Australian Capital Territory,2014-01,11671,152,66.7,972,11344212,16995420,17485,2014,1
5,Canberra,-35.343777,149.099953,Australian Capital Territory,Adelaide,-34.947512,138.533393,South Australia,2014-01,11671,152,66.7,972,11344212,16995420,17485,2014,1
6,Adelaide,-34.947512,138.533393,South Australia,Gold Coast,-28.165962,153.506641,Queensland,2014-01,21076,156,77.8,1607,33869132,43549700,27100,2014,1
7,Adelaide,-34.947512,138.533393,South Australia,Melbourne,-37.7281,144.901993,Victoria,2014-01,184780,1573,77.2,643,118813540,153912981,239367,2014,1
8,Melbourne,-37.7281,144.901993,Victoria,Adelaide,-34.947512,138.533393,South Australia,2014-01,184780,1573,77.2,643,118813540,153912981,239367,2014,1
9,Adelaide,-34.947512,138.533393,South Australia,Perth,-31.94029999,115.9670029,Western Australia,2014-01,55161,481,80.7,2120,116941320,144969840,68382,2014,1
10,Perth,-31.94029999,115.9670029,Western Australia,Adelaide,-34.947512,138.533393,South Australia,2014-01,55161,481,80.7,2120,116941320,144969840,68382,2014,1
11,Adelaide,-34.947512,138.533393,South Australia,Port Lincoln,-34.6053009,135.8800049,South Australia,2014-01,14885,472,66.5,246,3661710,5510400,22400,2014,1
12,Adelaide,-34.947512,138.533393,South Australia,Sydney,-33.733386,151.100006,New South Wales,2014-01,151684,1131,80.4,1167,177015228,220303926,188778,2014,1
13,Sydney,-33.733386,151.100006,New South Wales,Adelaide,-34.947512,138.533393,South Australia,2014-01,151684,1131,80.4,1167,177015228,220303926,188778,2014,1
14,Sydney,-33.733386,151.100006,New South Wales,Albury,-36.066758,146.959148,New South Wales,2014-01,16371,451,68.1,452,7399692,10859752,24026,2014,1
15,Melbourne,-37.7281,144.901993,Victoria,Alice Springs,-23.806588,133.903427,Northern Territory,2014-01,10141,106,60.9,1860,18862260,30980160,16656,2014,1
16,Sydney,-33.733386,151.100006,New South Wales,Alice Springs,-23.806588,133.903427,Northern Territory,2014-01,10898,102,65.2,2022,22035756,33803796,16718,2014,1
17,Sydney,-33.733386,151.100006,New South Wales,Ayers Rock,-25.185913,130.97703,Northern Territory,2014-01,10015,98,74.4,2181,21842715,29373708,13468,2014,1
18,Sydney,-33.733386,151.100006,New South Wales,Ballina,-28.8692,153.5713,New South Wales,2014-01,36420,275,83.3,612,22289040,26760312,43726,2014,1
19,Brisbane,-27.572351,153.004167,Queensland,Cairns,-16.911465,145.768924,Queensland,2014-01,104326,882,75.5,1391,145117466,192088754,138094,2014,1
20,Brisbane,-27.572351,153.004167,Queensland,Canberra,-35.343777,149.099953,Australian Capital Territory,2014-01,40675,486,68.2,956,38885300,57034960,59660,2014,1
21,Canberra,-35.343777,149.099953,Australian Capital Territory,Brisbane,-27.572351,153.004167,Queensland,2014-01,40675,486,68.2,956,38885300,57034960,59660,2014,1
22,Brisbane,-27.572351,153.004167,Queensland,Darwin,-12.41497,130.88185,Northern Territory,2014-01,29076,193,75.6,2852,82924752,109750664,38482,2014,1
23,Darwin,-12.41497,130.88185,Northern Territory,Brisbane,-27.572351,153.004167,Queensland,2014-01,29076,193,75.6,2852,82924752,109750664,38482,2014,1
24,Brisbane,-27.572351,153.004167,Queensland,Emerald,-23.56749916,148.1790009,Queensland,2014-01,19853,535,50.3,653,12964009,25784358,39486,2014,1
25,Brisbane,-27.572351,153.004167,Queensland,Gladstone,-23.869763,151.225439,Queensland,2014-01,34954,793,51.2,434,15170036,29607914,68221,2014,1
26,Brisbane,-27.572351,153.004167,Queensland,Hamilton Island,-20.35810089,148.9519959,Queensland,2014-01,13492,90,84.8,888,11980896,14128080,15910,2014,1
27,Brisbane,-27.572351,153.004167,Queensland,Hobart,-42.82638,147.478637,Tasmania,2014-01,17634,122,83,1791,31582494,38067705,21255,2014,1
28,Hobart,-42.82638,147.478637,Tasmania,Brisbane,-27.572351,153.004167,Queensland,2014-01,17634,122,83,1791,31582494,38067705,21255,2014,1
29,Brisbane,-27.572351,153.004167,Queensland,Mackay,-21.170816,149.182588,Queensland,2014-01,60717,667,69.6,797,48391449,69511949,87217,2014,1
30,Brisbane,-27.572351,153.004167,Queensland,Melbourne,-37.7281,144.901993,Victoria,2014-01,280261,2126,79.3,1381,387040441,488309171,353591,2014,1
31,Melbourne,-37.7281,144.901993,Victoria,Brisbane,-27.572351,153.004167,Queensland,2014-01,280261,2126,79.3,1381,387040441,488309171,353591,2014,1
32,Brisbane,-27.572351,153.004167,Queensland,Moranbah,-22.05780029,148.0769959,Queensland,2014-01,13156,435,42.7,780,10261680,24005280,30776,2014,1
33,Brisbane,-27.572351,153.004167,Queensland,Mount Isa,-20.66390038,139.4889984,Queensland,2014-01,11725,166,49.9,1573,18443425,36949770,23490,2014,1
34,Brisbane,-27.572351,153.004167,Queensland,Newcastle,-32.79499817,151.8339996,New South Wales,2014-01,48223,518,71.7,614,29608922,41308692,67278,2014,1
35,Brisbane,-27.572351,153.004167,Queensland,Perth,-31.94029999,115.9670029,Western Australia,2014-01,96776,507,82.4,3615,349845240,424440765,117411,2014,1
36,Perth,-31.94029999,115.9670029,Western Australia,Brisbane,-27.572351,153.004167,Queensland,2014-01,96776,507,82.4,3615,349845240,424440765,117411,2014,1
37,Brisbane,-27.572351,153.004167,Queensland,Proserpine,-20.39912,148.5855,Queensland,2014-01,20500,157,81.5,895,18347500,22521780,25164,2014,1
38,Brisbane,-27.572351,153.004167,Queensland,Rockhampton,-23.380019,150.475359,Queensland,2014-01,46293,775,66.2,518,23979774,36209754,69903,2014,1
39,Brisbane,-27.572351,153.004167,Queensland,Sydney,-33.733386,151.100006,New South Wales,2014-01,354217,2743,75.4,753,266725401,353916777,470009,2014,1
40,Sydney,-33.733386,151.100006,New South Wales,Brisbane,-27.572351,153.004167,Queensland,2014-01,354217,2743,75.4,753,266725401,353916777,470009,2014,1
41,Brisbane,-27.572351,153.004167,Queensland,Townsville,-19.252904,146.766512,Queensland,2014-01,67356,717,60.8,1112,74899872,123238512,110826,2014,1
42,Perth,-31.94029999,115.9670029,Western Australia,Broome,-17.948789,122.227407,Western Australia,2014-01,20184,254,55.8,1677,33848568,60714108,36204,2014,1
43,Brisbane,-27.572351,153.004167,Queensland,Bundaberg,-24.905039,152.322612,Queensland,2014-01,11911,295,65,287,3418457,5255544,18312,2014,1
44,Melbourne,-37.7281,144.901993,Victoria,Cairns,-16.911465,145.768924,Queensland,2014-01,61181,381,85.6,2311,141389291,165243433,71503,2014,1
45,Sydney,-33.733386,151.100006,New South Wales,Cairns,-16.911465,145.768924,Queensland,2014-01,93196,579,88.3,1971,183689316,208102122,105582,2014,1
46,Canberra,-35.343777,149.099953,Australian Capital Territory,Melbourne,-37.7281,144.901993,Victoria,2014-01,67246,818,65.2,470,31605620,48477210,103143,2014,1
47,Melbourne,-37.7281,144.901993,Victoria,Canberra,-35.343777,149.099953,Australian Capital Territory,2014-01,67246,818,65.2,470,31605620,48477210,103143,2014,1
48,Canberra,-35.343777,149.099953,Australian Capital Territory,Sydney,-33.733386,151.100006,New South Wales,2014-01,56295,1268,56.7,236,13285620,23448488,99358,2014,1
49,Sydney,-33.733386,151.100006,New South Wales,Canberra,-35.343777,149.099953,Australian Capital Territory,2014-01,56295,1268,56.7,236,13285620,23448488,99358,2014,1
50,Sydney,-33.733386,151.100006,New South Wales,Coffs Harbour,-30.320601,153.115997,New South Wales,2014-01,32156,488,69.6,443,14245108,20456854,46178,2014,1
51,Darwin,-12.41497,130.88185,Northern Territory,Melbourne,-37.7281,144.901993,Victoria,2014-01,23166,178,77.4,3131,72532746,93685782,29922,2014,1
52,Melbourne,-37.7281,144.901993,Victoria,Darwin,-12.41497,130.88185,Northern Territory,2014-01,23166,178,77.4,3131,72532746,93685782,29922,2014,1
53,Darwin,-12.41497,130.88185,Northern Territory,Perth,-31.94029999,115.9670029,Western Australia,2014-01,13179,119,69,2651,34937529,50647355,19105,2014,1
54,Perth,-31.94029999,115.9670029,Western Australia,Darwin,-12.41497,130.88185,Northern Territory,2014-01,13179,119,69,2651,34937529,50647355,19105,2014,1
55,Darwin,-12.41497,130.88185,Northern Territory,Sydney,-33.733386,151.100006,New South Wales,2014-01,24423,219,66.8,3155,77054565,115283700,36540,2014,1
56,Sydney,-33.733386,151.100006,New South Wales,Darwin,-12.41497,130.88185,Northern Territory,2014-01,24423,219,66.8,3155,77054565,115283700,36540,2014,1
57,Melbourne,-37.7281,144.901993,Victoria,Devonport,-41.16970062,146.4299927,Tasmania,2014-01,0,0,0,412,0,0,0,2014,1
58,Sydney,-33.733386,151.100006,New South Wales,Dubbo,-32.21670151,148.5749969,New South Wales,2014-01,12412,386,62.7,310,3847720,6140480,19808,2014,1
59,Perth,-31.94029999,115.9670029,Western Australia,Geraldton,-28.796101,114.707001,Western Australia,2014-01,9214,323,46.2,370,3409180,7373730,19929,2014,1
60,Sydney,-33.733386,151.100006,New South Wales,Gold Coast,-28.165962,153.506641,Queensland,2014-01,260305,1780,86,680,177007400,205793160,302637,2014,1
