Year,Month,Adelaide,Brisbane,Melbourne,Perth,Sydney,Total domestic network
2010,1,"2,067","5,153","8,925","3,502","9,138","33,750"
2010,2,"2,452","5,938","10,455","3,904","10,532","38,744"
2010,3,"2,704","6,825","11,591","4,573","11,934","43,660"
2010,4,"2,377","5,921","10,119","4,246","10,069","38,035"
2010,5,"2,482","6,528","10,609","4,498","10,765","40,614"
2010,6,"2,429","6,325","10,097","4,286","10,243","39,059"
2010,7,"2,640","6,557","10,701","4,453","10,470","41,081"
2010,8,"2,594","6,710","10,684","4,421","10,647","41,052"
2010,9,"2,673","6,850","11,076","4,626","11,016","42,494"
2010,10,"2,917","7,407","11,759","5,485","12,396","46,398"
2010,11,"2,730","7,565","11,823","5,254","12,759","46,380"
2010,12,"2,793","7,725","11,998","5,050","12,614","46,940"
2011,1,"2,068","6,319","8,942","3,733","9,760","36,270"
2011,2,"2,406","6,289","9,914","4,062","10,471","38,661"
2011,3,"2,708","7,548","11,652","4,913","12,177","45,489"
2011,4,"2,619","6,150","9,980","4,371","11,012","39,600"
2011,5,"2,630","7,038","10,985","4,559","11,758","43,376"
2011,6,"2,411","6,502","9,394","4,458","10,565","38,994"
2011,7,"2,696","6,468","10,073","4,797","11,234","41,024"
2011,8,"2,573","6,803","10,368","4,882","11,622","41,897"
2011,9,"2,528","6,711","10,249","4,600","11,261","41,139"
2011,10,"2,446","6,860","9,912","4,915","11,185","40,611"
2011,11,"2,549","7,245","10,726","5,192","11,794","42,995"
2011,12,"2,578","7,161","10,684","4,998","11,803","43,128"
2012,1,"1,928","5,469","8,259","3,880","8,633","32,690"
2012,2,"2,387","6,440","9,720","4,552","10,316","38,454"
2012,3,"2,450","6,514","10,268","4,784","10,510","40,145"
2012,4,"2,266","5,673","8,890","4,224","9,838","35,555"
2012,5,"2,747","6,369","10,462","4,614","10,545","40,311"
2012,6,"2,284","5,338","8,846","4,175","9,439","34,933"
2012,7,"2,599","5,936","9,743","4,707","10,483","38,606"
2012,8,"2,493","5,753","9,678","4,490","10,200","37,499"
2012,9,"2,403","5,447","9,356","4,213","9,803","35,648"
2012,10,"2,672","6,241","10,437","4,690","10,929","39,793"
2012,11,"2,493","6,079","10,169","4,400","10,876","38,786"
2012,12,"2,577","6,066","10,038","4,490","10,773","38,660"
2013,1,"2,056","4,952","8,373","3,528","8,447","31,389"
2013,2,"2,233","5,331","8,896","3,863","9,120","33,684"
2013,3,"2,327","5,425","9,204","3,854","9,506","34,535"
2013,4,"2,119","5,128","8,566","3,496","8,956","32,242"
2013,5,"2,224","5,863","9,695","3,883","9,897","36,068"
2013,6,"2,221","5,253","8,711","3,736","9,178","33,262"
2013,7,"2,169","5,561","9,135","3,749","9,463","34,531"
2013,8,"2,186","5,354","8,947","3,768","9,200","33,754"
2013,9,"2,286","5,404","8,828","3,499","8,964","33,080"
2013,10,"2,128","5,312","8,691","3,564","8,909","32,763"
2013,11,"2,497","5,261","8,904","3,643","9,549","34,317"
2013,12,"2,241","5,491","8,762","3,735","9,047","33,703"
2014,1,"1,815","4,514","7,362","3,111","7,298","27,917"
2014,2,"1,953","4,963","8,438","3,637","8,166","31,074"
2014,3,"2,176","5,426","9,075","4,172","9,182","34,236"
2014,4,"1,850","4,867","8,024","3,755","8,149","30,501"
2014,5,"2,155","5,518","9,371","4,611","9,165","35,176"
2014,6,"2,143","5,318","8,511","4,057","8,875","32,928"
2014,7,"2,131","5,568","9,649","4,263","9,321","35,648"
2014,8,"2,267","5,464","9,014","4,053","9,020","34,036"
2014,9,"2,155","5,264","9,333","4,004","9,162","34,153"
2014,10,"2,166","5,195","9,345","4,303","8,970","34,201"
2014,11,"2,513","5,135","10,092","4,337","9,534","35,823"
2014,12,"2,349","5,428","9,573","4,203","8,695","34,736"
2015,1,"1,721","3,828","7,092","3,150","6,076","25,285"
2015,2,"1,962","4,236","7,829","3,738","7,006","28,531"
2015,3,"2,185","4,968","8,498","4,623","8,387","32,924"
2015,4,"1,773","4,411","7,742","3,736","7,203","28,534"
2015,5,"2,190","4,690","8,783","4,207","7,841","31,828"
2015,6,"1,751","4,162","8,152","4,098","7,497","29,271"
2015,7,"1,796","4,397","7,985","4,073","7,304","29,489"
2015,8,"2,093","4,254","8,588","4,182","7,582","30,420"
2015,9,"1,666","4,334","8,278","4,063","7,699","29,789"
2015,10,"1,596","4,196","8,727","3,945","8,145","30,294"
2015,11,"1,795","4,672","8,825","4,077","8,593","31,685"
2015,12,"2,104","5,026","9,229","4,565","8,461","33,436"
2016,1,"1,799","4,390","8,649","4,364","7,335","30,321"
2016,2,"1,994","5,489","10,368","5,060","8,555","35,898"
2016,3,"1,953","5,603","10,499","5,087","9,035","36,590"
2016,4,"1,872","5,063","9,030","4,603","7,969","32,800"
2016,5,"1,868","5,521","10,017","4,824","8,444","35,298"
2016,6,"1,988","5,096","10,053","4,693","8,301","34,233"
2016,7,"1,921","5,769","9,683","4,804","8,683","35,731"
2016,8,"2,140","6,009","10,853","5,200","9,014","38,479"
2016,9,"2,134","5,963","10,575","4,984","8,725","37,446"
2016,10,"2,033","5,735","10,589","5,008","8,885","37,577"
2016,11,"2,462","5,981","11,657","5,559","9,433","40,411"
2016,12,"2,270","6,246","11,734","5,658","9,660","40,863"
2017,1,"1,958","4,660","9,943","4,628","7,911","33,658"
2017,2,"2,218","4,997","10,150","4,786","8,556","35,236"
2017,3,"2,372","5,589","11,625","5,635","9,503","39,659"
2017,4,"1,942","4,989","9,434","4,869","7,868","33,300"
2017,5,"2,318","5,922","12,350","5,645","9,731","41,237"
